trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.45349999999999996, 'e': 0.62813510518964077}",30,8,-88.45184570936256,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 1}",1
94,False,"{'a': 0.45299999999999996, 'e': 0.62500226828270078}",20,7,-46.4510181816991,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.45249999999999996, 'e': 0.62188505646502001}",30,15,-36.32077681939229,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.45199999999999996, 'e': 0.61878339180614084}",30,9,-65.20599073426017,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 1}",1
97,False,"{'a': 0.45149999999999996, 'e': 0.61569719676428514}",30,11,-56.97750942490673,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
98,False,"{'a': 0.45099999999999996, 'e': 0.61262639418441611}",20,0,-80.97050349295279,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
99,False,"{'a': 0.45049999999999996, 'e': 0.60957090729630925}",20,11,0.3239831076581594,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.44999999999999996, 'e': 0.60653065971263342}",25,0,-178.2912966854377,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
101,False,"{'a': 0.44949999999999996, 'e': 0.60350557542704053}",20,0,-40.57367695445598,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.44899999999999995, 'e': 0.6004955788122659}",20,0,-41.281743767929555,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.44849999999999995, 'e': 0.59750059461823746}",25,0,-122.5900426382419,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
104,False,"{'a': 0.44799999999999995, 'e': 0.59452054797019438}",30,0,-40.140811070420035,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
105,False,"{'a': 0.44749999999999995, 'e': 0.59155536436681511}",20,0,-53.26721297254998,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
